RATING,TITLE,CREDIT,BOX OFFICE,YEAR
82,Molly's Game,Actor,28.8,2018
92,Thor: Ragnarok,Heimdall,315,2017
40,The Mountain Between Us,Ben Bass,29.7,2017
16,The Dark Tower,Roland Deschain,50.7,2017
85,Star Trek Beyond,Krall,158.9,2016
94,Finding Dory,Fluke,486.3,2016
95,The Jungle Book,Shere Khan,364,2016
98,Zootopia,Chief Bogo,341.3,2016
75,Avengers: Age of Ultron,Heimdall,429.2,2015
17,The Gunman,Barnes,8,2015
9,No Good Deed,Colin  Executive Producer,42.5,2014
61,Mandela: Long Walk to Freedom,Nelson Mandela,4.8,2013
66,Thor: The Dark World,Heimdall,206.4,2013
71,Pacific Rim,Stacker Pentecost,101.8,2013
73,Prometheus,Janek,126.5,2012
17,Ghost Rider: Spirit of Vengeance,Moreau,51.8,2012
77,Thor,Heimdall,181.1,2011
29,Takers,Gordon Jennings,57.8,2010
48,The Losers,Roque,23.4,2010
19,Obsessed,Derek Charles,68.3,2009
10,The Unborn,Arthur Wyndham,42.7,2009
59,RocknRolla,Mumbels,5.7,2008
8,Prom Night,Detective Winn,43.9,2008
56,This Christmas,Quentin Whitfield Jr.,49.2,2007
80,American Gangster,Tango,130.2,2007
71,28 Weeks Later...,Stone,28.6,2007
8,The Reaping,Ben,25.1,2007
26,Daddy's Little Girls,Monty,31.4,2007
32,The Gospel,Reverend Charles Frank,15.8,2005
